time,GlucoseGA3P,GA3PDHAP,DHAPG3P,G3PGlycerol,GA3PPyruvate,PyruvateAlphaAcetolactate,AlphaAcetolactateDiacetyl,DiacetylAcetoin,AcetoinBDO,PyruvateAcetylaldehyde,AcetylaldehydeAcetoin,AcetylaldehydeAcetate,AcetateEthanol,Glucose,GA3P,DHAP,G3P,Glycerol,Pyruvate,AlphaAcetolactate,Diacetyl,Acetoin,BDO,Acetylaldehyde,Acetate,Ethanol
0.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.001,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.000075e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000997917330264,1.66666666667e+99,9.92400849681e-06,9.74596974443e-08,4.2033677884e-11,1.66666666667e+99,1.05571596436e-06,5.94471381923e-12,1.41370142774e-11,1.70866740518e-15,3.58952176631e-06,-2.35456418702e-06,3.45454975071e-06
2.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00015e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000995835989721,1.66666666667e+99,5.33886128586e-05,6.32659007503e-07,2.38361801483e-10,1.66666666667e+99,4.19603856339e-06,3.55052066172e-11,9.86326396866e-11,8.43747005588e-15,9.61208612764e-06,-1.43919674166e-06,9.41653453215e-06
3.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.000225e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000993755981376,1.66666666667e+99,9.63492807923e-05,1.6712889007e-06,9.40534893863e-10,1.66666666667e+99,7.33656000584e-06,9.88685344489e-11,2.31435418008e-10,3.04954425596e-14,1.20514244289e-05,-3.41416339237e-07,1.87792869478e-05
4.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0003e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000991677308241,1.66666666667e+99,0.000138972557202,3.04654650776e-06,2.4065183759e-09,1.66666666667e+99,1.04772802903e-05,1.94029607524e-10,3.87755561986e-10,7.24345117669e-14,1.30617009552e-05,-9.20366140421e-08,3.04194831388e-05
5.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.000375e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000989599973334,1.66666666667e+99,0.000181353402189,4.6632933628e-06,4.81467602853e-09,1.66666666667e+99,1.36181994152e-05,3.19102357894e-10,5.58578960411e-10,1.36715564469e-13,1.34838634881e-05,7.64279039598e-08,4.27287007525e-05
6.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00045e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000987523979683,1.66666666667e+99,0.000223551304261,6.46191021819e-06,8.29574857862e-09,1.66666666667e+99,1.67593173791e-05,4.7231267479e-10,7.41159043427e-10,2.25075642996e-13,1.36609210573e-05,1.43184876521e-07,5.53847276181e-05
7.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.000525e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000985449330321,1.66666666667e+99,0.000265606083478,8.40247714391e-06,1.29496057283e-08,1.66666666667e+99,1.99006341806e-05,6.51991759214e-10,9.35274573488e-10,3.39080212479e-13,1.37352939395e-05,1.72193328666e-07,6.81811863236e-05
8.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0006e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.00098337602829,1.66666666667e+99,0.000307545743829,1.04569114851e-05,1.88549137725e-08,1.66666666667e+99,2.30421498183e-05,8.56569872938e-10,1.14170231922e-09,4.80345040376e-13,1.37665542669e-05,1.8447569906e-07,8.1037483091e-05
9.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.000675e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000981304076639,1.66666666667e+99,0.000349390749003,1.26046861018e-05,2.60751228535e-08,1.66666666667e+99,2.61838642905e-05,1.08457045849e-09,1.36158549913e-09,6.50621775947e-13,1.37796971154e-05,1.89660833472e-07,9.39189943318e-05
10.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00075e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000979233478426,1.66666666667e+99,0.000391156518239,1.48303296087e-05,3.46623806594e-08,1.66666666667e+99,2.9325777596e-05,1.3346046081e-09,1.59617257556e-09,8.51827032904e-13,1.37852234181e-05,1.91844894288e-07,0.00010681112309
11.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.000825e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000977164236713,1.66666666667e+99,0.000432854965219,1.71218848062e-05,4.4660202468e-08,1.66666666667e+99,3.24678897332e-05,1.60536586099e-09,1.84671052748e-09,1.08604818824e-12,1.37875472276e-05,1.9276398093e-07,0.000119707719274
12.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0009e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000975096354572,1.66666666667e+99,0.00047449548999,1.94699148808e-05,5.6105357171e-08,1.66666666667e+99,3.56102007006e-05,1.89562530934e-09,2.11440272307e-09,1.35553978295e-12,1.37885244088e-05,1.93150587339e-07,0.000132606194548
13.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.000975e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000973029835084,1.66666666667e+99,0.000516085642225,2.18668387642e-05,6.90292384933e-08,1.66666666667e+99,3.87527104968e-05,2.20422699488e-09,2.40039376284e-09,1.66271633113e-12,1.3788935325e-05,1.93313181706e-07,0.000145505460091
14.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00105e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000970964681334,1.66666666667e+99,0.00055763157868,2.43064726613e-05,8.34588865061e-08,1.66666666667e+99,4.18954191203e-05,2.53008357855e-09,2.70576550705e-09,2.01014395608e-12,1.37891081208e-05,1.93381558663e-07,0.000158405057969
15.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.001125e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000968900896417,1.66666666667e+99,0.000599138387142,2.67837053216e-05,9.9417764647e-08,1.66666666667e+99,4.50383265696e-05,2.87217226734e-09,3.03153766269e-09,2.40053185023e-12,1.37891807838e-05,1.9341031281e-07,0.000171304795601
16.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0012e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000966838483434,1.66666666667e+99,0.000640610321146,2.92942627201e-05,1.16926361531e-07,1.66666666667e+99,4.81814328434e-05,3.22953098276e-09,3.37867015367e-09,2.83672395914e-12,1.37892113396e-05,1.93422404457e-07,0.000184204592002
17.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.001275e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000964777445495,1.66666666667e+99,0.000682050973476,3.18345340879e-05,1.36002664477e-07,1.66666666667e+99,5.13247379401e-05,3.60125475686e-09,3.74806611491e-09,3.32169104016e-12,1.37892241888e-05,1.9342748919e-07,0.000197104413117
18.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00135e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000962717785718,1.66666666667e+99,0.000723463406677,3.44014410136e-05,1.56662537321e-07,1.66666666667e+99,5.44682418583e-05,3.98649234204e-09,4.14057503005e-09,3.85852314256e-12,1.3789229592e-05,1.93429627397e-07,0.000210004244624
19.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.001425e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000960659507226,1.66666666667e+99,0.000764850252804,3.69923373985e-05,1.78920025623e-07,1.66666666667e+99,5.76119445965e-05,4.38444302222e-09,4.55699581819e-09,4.45042251292e-12,1.37892318642e-05,1.93430526544e-07,0.000222904080501
20.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0015e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000958602613151,1.66666666667e+99,0.000806213790706,3.96049319161e-05,2.0278760596e-07,1.66666666667e+99,6.07558461532e-05,4.79435361319e-09,4.99807979423e-09,5.10069691287e-12,1.37892328197e-05,1.93430904648e-07,0.000235803918216
21.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.001575e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000956547106634,1.66666666667e+99,0.000847556006686,4.22372271506e-05,2.28276391606e-07,1.66666666667e+99,6.3899946527e-05,5.21551564108e-09,5.46453347739e-09,5.81275332979e-12,1.37892332215e-05,1.93431063647e-07,0.000248703756704
22.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00165e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000954492990822,1.66666666667e+99,0.000888878642644,4.48874712804e-05,2.55396303752e-07,1.66666666667e+99,6.70442457164e-05,5.64726268826e-09,5.95702124306e-09,6.59009205927e-12,1.37892333904e-05,1.93431130508e-07,0.000261603595516
