time,GluGA3P,GA3PDHAP,DHAPG3P,Glu,GA3P,DHAP,G3P
0.0,4.06e-05,1.5e-06,0.05,1e-06,0.0,0.0,0.0
0.1,4.06e-05,1.5e-06,0.05,9.99962731598e-07,3.72681580568e-11,2.44000362429e-16,4.24534091058e-19
0.2,4.06e-05,1.5e-06,0.05,9.99925464584e-07,7.45344383495e-11,9.74291353884e-16,3.39181162918e-18
0.3,4.06e-05,1.5e-06,0.05,9.99888198959e-07,1.11798840954e-10,2.18831784711e-15,1.14323297677e-17
0.4,4.06e-05,1.5e-06,0.05,9.99850934723e-07,1.49061365948e-10,3.88353801224e-15,2.70632892802e-17
0.5,4.06e-05,1.5e-06,0.05,9.99813671876e-07,1.86322013407e-10,6.05742324759e-15,5.27886637576e-17
0.6,4.06e-05,1.5e-06,0.05,9.99776410418e-07,2.23580783407e-10,8.70745811082e-15,9.10992684449e-17
0.7,4.06e-05,1.5e-06,0.05,9.99739150348e-07,2.60837676025e-10,1.18311402505e-14,1.4447282872e-16
0.8,4.06e-05,1.5e-06,0.05,9.99701891667e-07,2.98092691337e-10,1.54259803378e-14,2.15374048215e-16
0.9,4.06e-05,1.5e-06,0.05,9.99664634375e-07,3.3534582942e-10,1.9489501999e-14,3.06254676587e-16
1.0,4.06e-05,1.5e-06,0.05,9.99627378471e-07,3.72597090349e-10,2.40192417481e-14,4.1955357693e-16
1.1,4.06e-05,1.5e-06,0.05,9.99590123955e-07,4.09846474202e-10,2.90127489192e-14,5.57696792839e-16
1.2,4.06e-05,1.5e-06,0.05,9.99552870828e-07,4.47093981055e-10,3.44675856005e-14,7.2309761513e-16
1.3,4.06e-05,1.5e-06,0.05,9.9951561909e-07,4.84339610983e-10,4.03813265675e-14,9.18156648203e-16
1.4,4.06e-05,1.5e-06,0.05,9.99478368739e-07,5.21583364064e-10,4.67515592171e-14,1.14526187607e-15
1.5,4.06e-05,1.5e-06,0.05,9.99441119777e-07,5.58825240374e-10,5.3575883502e-14,1.40678872802e-15
1.6,4.06e-05,1.5e-06,0.05,9.99403872203e-07,5.96065239989e-10,6.08519118651e-14,1.70510014398e-15
1.7,4.06e-05,1.5e-06,0.05,9.99366626017e-07,6.33303362986e-10,6.85772691748e-14,2.04254663951e-15
1.8,4.06e-05,1.5e-06,0.05,9.9932938122e-07,6.7053960944e-10,7.67495926603e-14,2.42146637041e-15
1.9,4.06e-05,1.5e-06,0.05,9.9929213781e-07,7.07773979428e-10,8.5366531847e-14,2.84418519714e-15
2.0,4.06e-05,1.5e-06,0.05,9.99254895788e-07,7.45006473027e-10,9.44257484927e-14,3.31301674872e-15
2.1,4.06e-05,1.5e-06,0.05,9.99217655155e-07,7.82237090313e-10,1.03924916524e-13,3.83026248641e-15
2.2,4.06e-05,1.5e-06,0.05,9.99180415909e-07,8.19465831362e-10,1.13861721974e-13,4.39821176708e-15
2.3,4.06e-05,1.5e-06,0.05,9.99143178051e-07,8.56692696251e-10,1.24233862916e-13,5.01914190612e-15
2.4,4.06e-05,1.5e-06,0.05,9.99105941581e-07,8.93917685055e-10,1.35039049404e-13,5.6953182402e-15
2.5,4.06e-05,1.5e-06,0.05,9.99068706498e-07,9.31140797851e-10,1.46275003411e-13,6.42899418952e-15
2.6,4.06e-05,1.5e-06,0.05,9.99031472803e-07,9.68362034716e-10,1.57939458763e-13,7.22241131989e-15
2.7,4.06e-05,1.5e-06,0.05,9.98994240496e-07,1.00558139573e-09,1.70030161082e-13,8.07779940441e-15
2.8,4.06e-05,1.5e-06,0.05,9.98957009577e-07,1.04279888096e-09,1.8254486772e-13,8.99737648483e-15
2.9,4.06e-05,1.5e-06,0.05,9.98919780045e-07,1.08001449049e-09,1.95481347703e-13,9.98334893258e-15
3.0,4.06e-05,1.5e-06,0.05,9.988825519e-07,1.11722822439e-09,2.08837381664e-13,1.10379115096e-14
3.1,4.06e-05,1.5e-06,0.05,9.98845325143e-07,1.15444008274e-09,2.2261076179e-13,1.21632474286e-14
3.2,4.06e-05,1.5e-06,0.05,9.98808099774e-07,1.19165006562e-09,2.36799291755e-13,1.33615284133e-14
3.3,4.06e-05,1.5e-06,0.05,9.98770875791e-07,1.2288581731e-09,2.51400786666e-13,1.46349147582e-14
3.4,4.06e-05,1.5e-06,0.05,9.98733653196e-07,1.26606440526e-09,2.66413072997e-13,1.5985555388e-14
3.5,4.06e-05,1.5e-06,0.05,9.98696431988e-07,1.30326876218e-09,2.81833988537e-13,1.74155879169e-14
3.6,4.06e-05,1.5e-06,0.05,9.98659212168e-07,1.34047124392e-09,2.97661382327e-13,1.89271387072e-14
3.7,4.06e-05,1.5e-06,0.05,9.98621993734e-07,1.37767185058e-09,3.13893114602e-13,2.05223229282e-14
3.8,4.06e-05,1.5e-06,0.05,9.98584776687e-07,1.41487058222e-09,3.30527056731e-13,2.22032446142e-14
3.9,4.06e-05,1.5e-06,0.05,9.98547561028e-07,1.45206743892e-09,3.47561091163e-13,2.39719967226e-14
4.0,4.06e-05,1.5e-06,0.05,9.98510346755e-07,1.48926242076e-09,3.64993111369e-13,2.58306611913e-14
4.1,4.06e-05,1.5e-06,0.05,9.9847313387e-07,1.52645552781e-09,3.82821021778e-13,2.77813089965e-14
4.2,4.06e-05,1.5e-06,0.05,9.98435922371e-07,1.56364676014e-09,4.0104273773e-13,2.98260002092e-14
4.3,4.06e-05,1.5e-06,0.05,9.98398712259e-07,1.60083611785e-09,4.1965618541e-13,3.19667840525e-14
4.4,4.06e-05,1.5e-06,0.05,9.98361503534e-07,1.638023601e-09,4.386593018e-13,3.42056989575e-14
4.5,4.06e-05,1.5e-06,0.05,9.98324296196e-07,1.67520920966e-09,4.58050034614e-13,3.654477262e-14
4.6,4.06e-05,1.5e-06,0.05,9.98287090244e-07,1.71239294392e-09,4.77826342251e-13,3.8986022056e-14
