time,GlucoseGA3P,GA3PDHAP,DHAPG3P,G3PGlycerol,GA3PPyruvate,PyruvateAlphaAcetolactate,AlphaAcetolactateDiacetyl,DiacetylAcetoin,AcetoinBDO,PyruvateAcetylaldehyde,AcetylaldehydeAcetoin,AcetylaldehydeAcetate,AcetateEthanol,Glucose,GA3P,DHAP,G3P,Glycerol,Pyruvate,AlphaAcetolactate,Diacetyl,Acetoin,BDO,Acetylaldehyde,Acetate,Ethanol
0,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.001,0,0,0,0,0,0,0,0,0,0,0,0
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000999236,7.64E-07,0,0,0,2.41E-11,3.99E-15,1.16E-20,0,0,0,0,0
2,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000998473,1.53E-06,0,0,0,9.65E-11,3.19E-14,1.82E-19,4.20E-21,1.60E-25,0,0,0
3,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000997709,2.29E-06,0,0,0,2.17E-10,1.08E-13,9.10E-19,3.32E-20,2.18E-24,0,0,0
4,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000996946,3.05E-06,0,0,0,3.86E-10,2.55E-13,2.84E-18,1.40E-19,1.26E-23,0,0,0
5,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000996183,3.82E-06,0,0,0,6.03E-10,4.99E-13,6.85E-18,4.23E-19,4.80E-23,0,0,0
6,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.00099542,4.58E-06,0,0,0,8.68E-10,8.61E-13,1.40E-17,1.04E-18,1.43E-22,0,0,0
7,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000994657,5.34E-06,0,0,0,1.18E-09,1.37E-12,2.57E-17,2.23E-18,3.58E-22,0,0,0
8,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000993895,6.10E-06,0,0,0,1.54E-09,2.04E-12,4.34E-17,4.31E-18,7.91E-22,0,0,0
9,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000993132,6.87E-06,0,0,0,1.95E-09,2.91E-12,6.87E-17,7.69E-18,1.59E-21,0,0,0
10,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.00099237,7.63E-06,0,0,0,2.41E-09,3.99E-12,1.03E-16,1.29E-17,2.97E-21,0,0,0
11,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000991608,8.39E-06,0,0,0,2.91E-09,5.30E-12,1.50E-16,2.06E-17,5.22E-21,0,0,0
12,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000990846,9.15E-06,0,0,0,3.47E-09,6.89E-12,2.10E-16,3.15E-17,8.72E-21,0,0,0
13,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000990085,9.91E-06,0,0,0,4.07E-09,8.75E-12,2.86E-16,4.66E-17,1.40E-20,0,0,0
14,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000989323,1.07E-05,0,0,0,4.71E-09,1.09E-11,3.80E-16,6.68E-17,2.16E-20,0,0,0
15,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000988562,1.14E-05,0,0,0,5.41E-09,1.34E-11,4.95E-16,9.35E-17,3.25E-20,0,0,0
16,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000987801,1.22E-05,0,0,0,6.15E-09,1.63E-11,6.34E-16,1.28E-16,4.74E-20,0,0,0
17,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.00098704,1.30E-05,0,0,0,6.94E-09,1.96E-11,7.99E-16,1.72E-16,6.77E-20,0,0,0
18,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000986279,1.37E-05,0,0,0,7.78E-09,2.32E-11,9.94E-16,2.26E-16,9.47E-20,0,0,0
19,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000985518,1.45E-05,0,0,0,8.67E-09,2.73E-11,1.22E-15,2.94E-16,1.30E-19,0,0,0
20,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000984758,1.52E-05,0,0,0,9.60E-09,3.18E-11,1.48E-15,3.76E-16,1.75E-19,0,0,0
21,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000983998,1.60E-05,0,0,0,1.06E-08,3.69E-11,1.78E-15,4.76E-16,2.33E-19,0,0,0
22,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000983238,1.68E-05,0,0,0,1.16E-08,4.24E-11,2.13E-15,5.95E-16,3.06E-19,0,0,0
