time,Glucose,Hexokinase,Complex_G_H
0.0,1e-06,3e-06,0
1.0,1e-06,3.0000021e-06,8.99999865e-19
2.0,1e-06,3.0000042e-06,1.79999946e-18
3.0,1e-06,3.00000630001e-06,2.699998785e-18
4.0,1e-06,3.00000840001e-06,3.59999784001e-18
5.0,1e-06,3.00001050002e-06,4.49999662501e-18
6.0,1e-06,3.00001260003e-06,5.39999514003e-18
7.0,1e-06,3.00001470004e-06,6.29999338504e-18
8.0,1e-06,3.00001680005e-06,7.19999136006e-18
9.0,1e-06,3.00001890006e-06,8.09998906509e-18
10.0,1e-06,3.00002100007e-06,8.99998650012e-18
11.0,1e-06,3.00002310009e-06,9.89998366516e-18
12.0,1e-06,3.00002520011e-06,1.07999805602e-17
13.0,1e-06,3.00002730012e-06,1.16999771853e-17
14.0,1e-06,3.00002940014e-06,1.25999735403e-17
15.0,1e-06,3.00003150017e-06,1.34999696254e-17
16.0,1e-06,3.00003360019e-06,1.43999654405e-17
17.0,1e-06,3.00003570021e-06,1.52999609856e-17
18.0,1e-06,3.00003780024e-06,1.61999562607e-17
19.0,1e-06,3.00003990027e-06,1.70999512658e-17
20.0,1e-06,3.00004200029e-06,1.79999460009e-17
21.0,1e-06,3.00004410032e-06,1.88999404661e-17
22.0,1e-06,3.00004620036e-06,1.97999346613e-17
23.0,1e-06,3.00004830039e-06,2.06999285864e-17
24.0,1e-06,3.00005040042e-06,2.15999222416e-17
25.0,1e-06,3.00005250046e-06,2.24999156269e-17
26.0,1e-06,3.0000546005e-06,2.33999087421e-17
27.0,1e-06,3.00005670054e-06,2.42999015873e-17
28.0,1e-06,3.00005880058e-06,2.51998941626e-17
29.0,1e-06,3.00006090062e-06,2.60998864679e-17
30.0,1e-06,3.00006300066e-06,2.69998785032e-17
31.0,1e-06,3.00006510071e-06,2.78998702685e-17
32.0,1e-06,3.00006720075e-06,2.87998617639e-17
33.0,1e-06,3.0000693008e-06,2.96998529893e-17
34.0,1e-06,3.00007140085e-06,3.05998439447e-17
35.0,1e-06,3.0000735009e-06,3.14998346301e-17
36.0,1e-06,3.00007560095e-06,3.23998250455e-17
37.0,1e-06,3.00007770101e-06,3.3299815191e-17
38.0,1e-06,3.00007980106e-06,3.41998050665e-17
39.0,1e-06,3.00008190112e-06,3.5099794672e-17
40.0,1e-06,3.00008400118e-06,3.59997840076e-17
41.0,1e-06,3.00008610124e-06,3.68997730732e-17
42.0,1e-06,3.0000882013e-06,3.77997618688e-17
43.0,1e-06,3.00009030136e-06,3.86997503944e-17
44.0,1e-06,3.00009240142e-06,3.95997386501e-17
45.0,1e-06,3.00009450149e-06,4.04997266358e-17
46.0,1e-06,3.00009660156e-06,4.13997143515e-17
47.0,1e-06,3.00009870162e-06,4.22997017973e-17
48.0,1e-06,3.00010080169e-06,4.31996889731e-17
49.0,1e-06,3.00010290176e-06,4.40996758789e-17
50.0,1e-06,3.00010500184e-06,4.49996625148e-17
51.0,1e-06,3.00010710191e-06,4.58996488807e-17
52.0,1e-06,3.00010920199e-06,4.67996349767e-17
53.0,1e-06,3.00011130206e-06,4.76996208026e-17
54.0,1e-06,3.00011340214e-06,4.85996063587e-17
55.0,1e-06,3.00011550222e-06,4.94995916447e-17
56.0,1e-06,3.0001176023e-06,5.03995766608e-17
57.0,1e-06,3.00011970239e-06,5.12995614069e-17
58.0,1e-06,3.00012180247e-06,5.21995458831e-17
59.0,1e-06,3.00012390256e-06,5.30995300893e-17
60.0,1e-06,3.00012600265e-06,5.39995140256e-17
61.0,1e-06,3.00012810273e-06,5.48994976919e-17
62.0,1e-06,3.00013020283e-06,5.57994810882e-17
63.0,1e-06,3.00013230292e-06,5.66994642146e-17
64.0,1e-06,3.00013440301e-06,5.75994470711e-17
65.0,1e-06,3.00013650311e-06,5.84994296575e-17
66.0,1e-06,3.0001386032e-06,5.93994119741e-17
67.0,1e-06,3.0001407033e-06,6.02993940206e-17
68.0,1e-06,3.0001428034e-06,6.11993757973e-17
69.0,1e-06,3.0001449035e-06,6.20993573039e-17
70.0,1e-06,3.0001470036e-06,6.29993385406e-17
71.0,1e-06,3.00014910371e-06,6.38993195074e-17
72.0,1e-06,3.00015120381e-06,6.47993002042e-17
73.0,1e-06,3.00015330392e-06,6.56992806311e-17
74.0,1e-06,3.00015540402e-06,6.6599260788e-17
75.0,1e-06,3.00015750413e-06,6.7499240675e-17
76.0,1e-06,3.00015960425e-06,6.8399220292e-17
77.0,1e-06,3.00016170436e-06,6.92991996391e-17
78.0,1e-06,3.00016380447e-06,7.01991787162e-17
79.0,1e-06,3.00016590459e-06,7.10991575234e-17
80.0,1e-06,3.0001680047e-06,7.19991360607e-17
81.0,1e-06,3.00017010482e-06,7.2899114328e-17
82.0,1e-06,3.00017220494e-06,7.37990923253e-17
83.0,1e-06,3.00017430506e-06,7.46990700528e-17
84.0,1e-06,3.00017640519e-06,7.55990475102e-17
85.0,1e-06,3.00017850531e-06,7.64990246978e-17
86.0,1e-06,3.00018060544e-06,7.73990016154e-17
87.0,1e-06,3.00018270556e-06,7.8298978263e-17
88.0,1e-06,3.00018480569e-06,7.91989546408e-17
89.0,1e-06,3.00018690582e-06,8.00989307485e-17
90.0,1e-06,3.00018900595e-06,8.09989065864e-17
91.0,1e-06,3.00019110609e-06,8.18988821543e-17
92.0,1e-06,3.00019320622e-06,8.27988574523e-17
93.0,1e-06,3.00019530636e-06,8.36988324803e-17
94.0,1e-06,3.00019740649e-06,8.45988072384e-17
95.0,1e-06,3.00019950663e-06,8.54987817266e-17
96.0,1e-06,3.00020160677e-06,8.63987559448e-17
97.0,1e-06,3.00020370692e-06,8.72987298932e-17
