time,Glucose,Hexokinase,Complex_G_H
0.0,1e-06,1e-06,0
1.0,1e-06,1.0000007e-06,2.99999955e-19
2.0,1e-06,1.0000014e-06,5.9999982e-19
3.0,1e-06,1.0000021e-06,8.99999595001e-19
4.0,1e-06,1.0000028e-06,1.19999928e-18
5.0,1e-06,1.00000350001e-06,1.499998875e-18
6.0,1e-06,1.00000420001e-06,1.79999838001e-18
7.0,1e-06,1.00000490001e-06,2.09999779501e-18
8.0,1e-06,1.00000560002e-06,2.39999712002e-18
9.0,1e-06,1.00000630002e-06,2.69999635503e-18
10.0,1e-06,1.00000700002e-06,2.99999550004e-18
11.0,1e-06,1.00000770003e-06,3.29999455505e-18
12.0,1e-06,1.00000840004e-06,3.59999352007e-18
13.0,1e-06,1.00000910004e-06,3.89999239509e-18
14.0,1e-06,1.00000980005e-06,4.19999118011e-18
15.0,1e-06,1.00001050006e-06,4.49998987513e-18
16.0,1e-06,1.00001120006e-06,4.79998848016e-18
17.0,1e-06,1.00001190007e-06,5.09998699519e-18
18.0,1e-06,1.00001260008e-06,5.39998542023e-18
19.0,1e-06,1.00001330009e-06,5.69998375527e-18
20.0,1e-06,1.0000140001e-06,5.99998200032e-18
21.0,1e-06,1.00001470011e-06,6.29998015537e-18
22.0,1e-06,1.00001540012e-06,6.59997822042e-18
23.0,1e-06,1.00001610013e-06,6.89997619548e-18
24.0,1e-06,1.00001680014e-06,7.19997408055e-18
25.0,1e-06,1.00001750015e-06,7.49997187562e-18
26.0,1e-06,1.00001820017e-06,7.79996958069e-18
27.0,1e-06,1.00001890018e-06,8.09996719578e-18
28.0,1e-06,1.00001960019e-06,8.39996472087e-18
29.0,1e-06,1.00002030021e-06,8.69996215596e-18
30.0,1e-06,1.00002100022e-06,8.99995950107e-18
31.0,1e-06,1.00002170024e-06,9.29995675618e-18
32.0,1e-06,1.00002240025e-06,9.59995392129e-18
33.0,1e-06,1.00002310027e-06,9.89995099642e-18
34.0,1e-06,1.00002380028e-06,1.01999479816e-17
35.0,1e-06,1.0000245003e-06,1.04999448767e-17
36.0,1e-06,1.00002520032e-06,1.07999416818e-17
37.0,1e-06,1.00002590034e-06,1.1099938397e-17
38.0,1e-06,1.00002660035e-06,1.13999350222e-17
39.0,1e-06,1.00002730037e-06,1.16999315573e-17
40.0,1e-06,1.00002800039e-06,1.19999280025e-17
41.0,1e-06,1.00002870041e-06,1.22999243577e-17
42.0,1e-06,1.00002940043e-06,1.25999206229e-17
43.0,1e-06,1.00003010045e-06,1.28999167981e-17
44.0,1e-06,1.00003080047e-06,1.31999128834e-17
45.0,1e-06,1.0000315005e-06,1.34999088786e-17
46.0,1e-06,1.00003220052e-06,1.37999047838e-17
47.0,1e-06,1.00003290054e-06,1.40999005991e-17
48.0,1e-06,1.00003360056e-06,1.43998963244e-17
49.0,1e-06,1.00003430059e-06,1.46998919596e-17
50.0,1e-06,1.00003500061e-06,1.49998875049e-17
51.0,1e-06,1.00003570064e-06,1.52998829602e-17
52.0,1e-06,1.00003640066e-06,1.55998783256e-17
53.0,1e-06,1.00003710069e-06,1.58998736009e-17
54.0,1e-06,1.00003780071e-06,1.61998687862e-17
55.0,1e-06,1.00003850074e-06,1.64998638816e-17
56.0,1e-06,1.00003920077e-06,1.67998588869e-17
57.0,1e-06,1.0000399008e-06,1.70998538023e-17
58.0,1e-06,1.00004060082e-06,1.73998486277e-17
59.0,1e-06,1.00004130085e-06,1.76998433631e-17
60.0,1e-06,1.00004200088e-06,1.79998380085e-17
61.0,1e-06,1.00004270091e-06,1.8299832564e-17
62.0,1e-06,1.00004340094e-06,1.85998270294e-17
63.0,1e-06,1.00004410097e-06,1.88998214049e-17
64.0,1e-06,1.000044801e-06,1.91998156904e-17
65.0,1e-06,1.00004550104e-06,1.94998098858e-17
66.0,1e-06,1.00004620107e-06,1.97998039914e-17
67.0,1e-06,1.0000469011e-06,2.00997980069e-17
68.0,1e-06,1.00004760113e-06,2.03997919324e-17
69.0,1e-06,1.00004830117e-06,2.0699785768e-17
70.0,1e-06,1.0000490012e-06,2.09997795135e-17
71.0,1e-06,1.00004970124e-06,2.12997731691e-17
72.0,1e-06,1.00005040127e-06,2.15997667347e-17
73.0,1e-06,1.00005110131e-06,2.18997602104e-17
74.0,1e-06,1.00005180134e-06,2.2199753596e-17
75.0,1e-06,1.00005250138e-06,2.24997468917e-17
