time,hexokinase,glucose,g6p,phosphoglucoisomerase,phosphoglucoisomerase2,f6p,phosphofructokinase,f16p,fructosephosphatealdolase,fructosephosphatealdolase2,g3p,dhp,g6pdehydrogenase,pg6
0.0,1e-09,1e-06,0.0,1e-09,1e-09,0.0,1e-09,0.0,1e-09,1e-09,0.0,0.0,1e-09,0.0
0.1,1e-09,1e-06,9.99000998901e-20,1e-09,1e-09,4.99500499401e-30,1e-09,1.66500166471e-40,1e-09,1e-09,4.1625041623e-51,4.1625041623e-51,1e-09,4.99500499434e-30
0.2,1e-09,1e-06,1.9980019976e-19,1e-09,1e-09,1.9980019972e-29,1e-09,1.33200133154e-39,1e-09,1e-09,6.66000665797e-50,6.66000665797e-50,1e-09,1.99800199747e-29
0.3,1e-09,1e-06,2.9970029961e-19,1e-09,1e-09,4.49550449281e-29,1e-09,4.49550449315e-39,1e-09,1e-09,3.37162837002e-49,3.37162837002e-49,1e-09,4.49550449371e-29
0.4,1e-09,1e-06,3.99600399441e-19,1e-09,1e-09,7.99200798562e-29,1e-09,1.06560106486e-38,1e-09,1e-09,1.06560106492e-48,1.06560106492e-48,1e-09,7.99200798775e-29
0.5,1e-09,1e-06,4.99500499251e-19,1e-09,1e-09,1.2487512475e-28,1e-09,2.08125207943e-38,1e-09,1e-09,2.60156509949e-48,2.60156509949e-48,1e-09,1.24875124792e-28
0.6,1e-09,9.99999999999e-07,5.99400599041e-19,1e-09,1e-09,1.79820179604e-28,1e-09,3.59640359263e-38,1e-09,1e-09,5.39460538943e-48,5.39460538943e-48,1e-09,1.79820179676e-28
0.7,1e-09,9.99999999999e-07,6.99300698811e-19,1e-09,1e-09,2.44755244413e-28,1e-09,5.71095570396e-38,1e-09,1e-09,9.99417248299e-48,9.99417248299e-48,1e-09,2.44755244527e-28
0.8,1e-09,9.99999999999e-07,7.99200798561e-19,1e-09,1e-09,3.19680319169e-28,1e-09,8.52480851288e-38,1e-09,1e-09,1.70496170278e-47,1.70496170278e-47,1e-09,3.19680319339e-28
0.9,1e-09,9.99999999999e-07,8.99100898292e-19,1e-09,1e-09,4.04595403867e-28,1e-09,1.21378621188e-37,1e-09,1e-09,2.73101897709e-47,2.73101897709e-47,1e-09,4.0459540411e-28
1.0,1e-09,9.99999999999e-07,9.99000998002e-19,1e-09,1e-09,4.99500498502e-28,1e-09,1.66500166209e-37,1e-09,1e-09,4.16250415585e-47,4.16250415585e-47,1e-09,4.99500498835e-28
1.1,1e-09,9.99999999999e-07,1.09890109769e-18,1e-09,1e-09,6.04395603066e-28,1e-09,2.21611721185e-37,1e-09,1e-09,6.0943223336e-47,6.0943223336e-47,1e-09,6.0439560351e-28
1.2,1e-09,9.99999999999e-07,1.19880119736e-18,1e-09,1e-09,7.19280717555e-28,1e-09,2.87712287108e-37,1e-09,1e-09,8.6313686148e-47,8.6313686148e-47,1e-09,7.1928071813e-28
1.3,1e-09,9.99999999999e-07,1.29870129701e-18,1e-09,1e-09,8.44155841962e-28,1e-09,3.65800864969e-37,1e-09,1e-09,1.18885281138e-46,1.18885281138e-46,1e-09,8.44155842693e-28
1.4,1e-09,9.99999999999e-07,1.39860139664e-18,1e-09,1e-09,9.79020976281e-28,1e-09,4.56876455757e-37,1e-09,1e-09,1.59906759549e-46,1.59906759549e-46,1e-09,9.79020977194e-28
1.5,1e-09,9.99999999999e-07,1.49850149625e-18,1e-09,1e-09,1.12387612051e-27,1e-09,5.61938060463e-37,1e-09,1e-09,2.10726772721e-46,2.10726772721e-46,1e-09,1.12387612163e-27
1.6,1e-09,9.99999999998e-07,1.59840159584e-18,1e-09,1e-09,1.27872127463e-27,1e-09,6.81984680076e-37,1e-09,1e-09,2.72793872096e-46,2.72793872096e-46,1e-09,1.27872127599e-27
1.7,1e-09,9.99999999998e-07,1.69830169541e-18,1e-09,1e-09,1.44355643865e-27,1e-09,8.18015315582e-37,1e-09,1e-09,3.47656509211e-46,3.47656509211e-46,1e-09,1.44355644029e-27
1.8,1e-09,9.99999999998e-07,1.79820179497e-18,1e-09,1e-09,1.61838161256e-27,1e-09,9.71028967971e-37,1e-09,1e-09,4.36963035705e-46,4.36963035705e-46,1e-09,1.6183816145e-27
1.9,1e-09,9.99999999998e-07,1.8981018945e-18,1e-09,1e-09,1.80319679635e-27,1e-09,1.14202463823e-36,1e-09,1e-09,5.42461703313e-46,5.42461703313e-46,1e-09,1.80319679863e-27
2.0,1e-09,9.99999999998e-07,1.99800199401e-18,1e-09,1e-09,1.99800199001e-27,1e-09,1.33200132734e-36,1e-09,1e-09,6.6600066387e-46,6.6600066387e-46,1e-09,1.99800199268e-27
2.1,1e-09,9.99999999998e-07,2.0979020935e-18,1e-09,1e-09,2.20279719355e-27,1e-09,1.54195803629e-36,1e-09,1e-09,8.09527969309e-46,8.09527969309e-46,1e-09,2.20279719663e-27
2.2,1e-09,9.99999999998e-07,2.19780219297e-18,1e-09,1e-09,2.41758240695e-27,1e-09,1.77289376607e-36,1e-09,1e-09,9.7509157166e-46,9.7509157166e-46,1e-09,2.41758241049e-27
2.3,1e-09,9.99999999998e-07,2.29770229242e-18,1e-09,1e-09,2.64235763021e-27,1e-09,2.02580751766e-36,1e-09,1e-09,1.16483932305e-45,1.16483932305e-45,1e-09,2.64235763426e-27
2.4,1e-09,9.99999999998e-07,2.39760239185e-18,1e-09,1e-09,2.87712286332e-27,1e-09,2.30169829203e-36,1e-09,1e-09,1.38101897572e-45,1.38101897572e-45,1e-09,2.87712286792e-27
2.5,1e-09,9.99999999998e-07,2.49750249126e-18,1e-09,1e-09,3.12187810627e-27,1e-09,2.60156509019e-36,1e-09,1e-09,1.62597818198e-45,1.62597818198e-45,1e-09,3.12187811148e-27
2.6,1e-09,9.99999999997e-07,2.59740259065e-18,1e-09,1e-09,3.37662335907e-27,1e-09,2.9264069131e-36,1e-09,1e-09,1.90216449425e-45,1.90216449425e-45,1e-09,3.37662336492e-27
2.7,1e-09,9.99999999997e-07,2.69730269002e-18,1e-09,1e-09,3.6413586217e-27,1e-09,3.27722276174e-36,1e-09,1e-09,2.21212536507e-45,2.21212536507e-45,1e-09,3.64135862826e-27
2.8,1e-09,9.99999999997e-07,2.79720278937e-18,1e-09,1e-09,3.91608389416e-27,1e-09,3.65501163711e-36,1e-09,1e-09,2.55850814705e-45,2.55850814705e-45,1e-09,3.91608390147e-27
2.9,1e-09,9.99999999997e-07,2.8971028887e-18,1e-09,1e-09,4.20079917644e-27,1e-09,4.06077254017e-36,1e-09,1e-09,2.9440600929e-45,2.9440600929e-45,1e-09,4.20079918456e-27
3.0,1e-09,9.99999999997e-07,2.99700298801e-18,1e-09,1e-09,4.49550446854e-27,1e-09,4.49550447191e-36,1e-09,1e-09,3.37162835545e-45,3.37162835545e-45,1e-09,4.49550447753e-27
3.1,1e-09,9.99999999997e-07,3.0969030873e-18,1e-09,1e-09,4.80019977045e-27,1e-09,4.96020643331e-36,1e-09,1e-09,3.8441599876e-45,3.8441599876e-45,1e-09,4.80019978037e-27
3.2,1e-09,9.99999999997e-07,3.19680318657e-18,1e-09,1e-09,5.11488508216e-27,1e-09,5.45587742533e-36,1e-09,1e-09,4.36470194236e-45,4.36470194236e-45,1e-09,5.11488509307e-27
3.3,1e-09,9.99999999997e-07,3.29670328582e-18,1e-09,1e-09,5.43956040367e-27,1e-09,5.98351644897e-36,1e-09,1e-09,4.93640107284e-45,4.93640107284e-45,1e-09,5.43956041564e-27
3.4,1e-09,9.99999999997e-07,3.39660338505e-18,1e-09,1e-09,5.77422573497e-27,1e-09,6.5441225052e-36,1e-09,1e-09,5.56250413225e-45,5.56250413225e-45,1e-09,5.77422574806e-27
3.5,1e-09,9.99999999997e-07,3.49650348427e-18,1e-09,1e-09,6.11888107606e-27,1e-09,7.13869459498e-36,1e-09,1e-09,6.24635777389e-45,6.24635777389e-45,1e-09,6.11888109034e-27
3.6,1e-09,9.99999999996e-07,3.59640358346e-18,1e-09,1e-09,6.47352642693e-27,1e-09,7.76823171931e-36,1e-09,1e-09,6.99140855115e-45,6.99140855115e-45,1e-09,6.47352644247e-27
3.7,1e-09,9.99999999996e-07,3.69630368263e-18,1e-09,1e-09,6.83816178758e-27,1e-09,8.43373287914e-36,1e-09,1e-09,7.80120291753e-45,7.80120291753e-45,1e-09,6.83816180444e-27
3.8,1e-09,9.99999999996e-07,3.79620378178e-18,1e-09,1e-09,7.21278715799e-27,1e-09,9.13619707546e-36,1e-09,1e-09,8.67938722663e-45,8.67938722663e-45,1e-09,7.21278717626e-27
3.9,1e-09,9.99999999996e-07,3.89610388091e-18,1e-09,1e-09,7.59740253816e-27,1e-09,9.87662330923e-36,1e-09,1e-09,9.62970773213e-45,9.62970773213e-45,1e-09,7.59740255792e-27
4.0,1e-09,9.99999999996e-07,3.99600398002e-18,1e-09,1e-09,7.99200792809e-27,1e-09,1.06560105814e-35,1e-09,1e-09,1.06560105878e-44,1.06560105878e-44,1e-09,7.99200794941e-27
4.1,1e-09,9.99999999996e-07,4.09590407911e-18,1e-09,1e-09,8.39660332777e-27,1e-09,1.1475357893e-35,1e-09,1e-09,1.17622418476e-44,1.17622418476e-44,1e-09,8.39660335072e-27
4.2,1e-09,9.99999999996e-07,4.19580417818e-18,1e-09,1e-09,8.8111887372e-27,1e-09,1.2335664245e-35,1e-09,1e-09,1.29524474654e-44,1.29524474654e-44,1e-09,8.81118876187e-27
4.3,1e-09,9.99999999996e-07,4.29570427723e-18,1e-09,1e-09,9.23576415636e-27,1e-09,1.32379286383e-35,1e-09,1e-09,1.42307732954e-44,1.42307732954e-44,1e-09,9.23576418284e-27
4.4,1e-09,9.99999999996e-07,4.39560437626e-18,1e-09,1e-09,9.67032958526e-27,1e-09,1.4183150074e-35,1e-09,1e-09,1.56014650917e-44,1.56014650917e-44,1e-09,9.67032961363e-27
