time,glucose,hexokinase,glucose6phosphate,phosphoglucoisomerase,fructose6phosphate,phosphoglucoisomerase2,glucose6phosphatereversible,phosphofructokinase,fructose16biphosphate
0.0,4e-09,1e-06,0.0,1e-06,0.0,1e-06,0.0,1e-06,0.0
0.1,4e-09,1e-06,3.9960037962e-19,1e-06,1.99800186427e-26,1e-06,6.66000632568e-34,1e-06,6.66000649218e-34
0.2,4e-09,9.99999999999e-07,7.99200719281e-19,1e-06,7.99200692215e-26,1e-06,5.32800479308e-33,1e-06,5.32800505948e-33
0.3,4e-09,9.99999999999e-07,1.19880101898e-18,1e-06,1.79820143712e-25,1e-06,1.79820152739e-32,1e-06,1.79820166226e-32
0.4,4e-09,9.99999999998e-07,1.59840127872e-18,1e-06,3.19680234092e-25,1e-06,4.26240340652e-32,1e-06,4.26240383276e-32
0.5,4e-09,9.99999999998e-07,1.9980014985e-18,1e-06,4.99500332335e-25,1e-06,8.32500623544e-32,1e-06,8.32500727607e-32
0.6,4e-09,9.99999999998e-07,2.39760167832e-18,1e-06,7.19280430419e-25,1e-06,1.43856100527e-31,1e-06,1.43856122105e-31
0.7,4e-09,9.99999999997e-07,2.79720181818e-18,1e-06,9.79020520319e-25,1e-06,2.28438148165e-31,1e-06,2.28438188142e-31
0.8,4e-09,9.99999999997e-07,3.19680191808e-18,1e-06,1.27872059401e-24,1e-06,3.4099220405e-31,1e-06,3.40992272249e-31
0.9,4e-09,9.99999999996e-07,3.59640197802e-18,1e-06,1.61838064347e-24,1e-06,4.8551426616e-31,1e-06,4.85514375401e-31
1.0,4e-09,9.99999999996e-07,3.996001998e-18,1e-06,1.99800066068e-24,1e-06,6.6600033167e-31,1e-06,6.6600049817e-31
1.1,4e-09,9.99999999996e-07,4.39560197802e-18,1e-06,2.4175806376e-24,1e-06,8.86446396953e-31,1e-06,8.86446640726e-31
1.2,4e-09,9.99999999995e-07,4.79520191808e-18,1e-06,2.87712056623e-24,1e-06,1.15084845758e-30,1e-06,1.15084880284e-30
1.3,4e-09,9.99999999995e-07,5.19480181818e-18,1e-06,3.37662043852e-24,1e-06,1.46320250832e-30,1e-06,1.46320298386e-30
1.4,4e-09,9.99999999994e-07,5.59440167832e-18,1e-06,3.91608024647e-24,1e-06,1.82750454314e-30,1e-06,1.82750518277e-30
1.5,4e-09,9.99999999994e-07,5.9940014985e-18,1e-06,4.49549998204e-24,1e-06,2.2477505552e-30,1e-06,2.24775139811e-30
1.6,4e-09,9.99999999994e-07,6.39360127872e-18,1e-06,5.11487963721e-24,1e-06,2.72793653687e-30,1e-06,2.72793762804e-30
1.7,4e-09,9.99999999993e-07,6.79320101898e-18,1e-06,5.77421920396e-24,1e-06,3.2720584797e-30,1e-06,3.27205987032e-30
