time,hexokinase,glucose,glucose6phosphate,phosphoglucoisomerase,fructose6phosphate,phosphoglucoisomerase2,glucose6phosphatereversible
0.0,1e-09,1e-06,0.0,1e-06,0.0,1e-06,0.0
0.1,1e-09,1e-06,9.99000999001e-20,1e-06,4.99500482817e-27,1e-06,1.66500162329e-34
0.2,1e-09,1e-06,1.998001998e-19,1e-06,1.99800186454e-26,1e-06,1.33200126527e-33
0.3,1e-09,1e-06,2.997002997e-19,1e-06,4.49550404506e-26,1e-06,4.49550415767e-33
0.4,1e-09,1e-06,3.996003996e-19,1e-06,7.99200692428e-26,1e-06,1.06560095883e-32
0.5,1e-09,1e-06,4.995004995e-19,1e-06,1.24875104021e-25,1e-06,2.08125182058e-32
0.6,1e-09,9.99999999999e-07,5.99400599401e-19,1e-06,1.79820143784e-25,1e-06,3.59640305587e-32
0.7,1e-09,9.99999999999e-07,6.99300699301e-19,1e-06,2.44755187532e-25,1e-06,5.71095470954e-32
0.8,1e-09,9.99999999999e-07,7.99200799201e-19,1e-06,3.19680234262e-25,1e-06,8.52480681644e-32
0.9,1e-09,9.99999999999e-07,8.99100899101e-19,1e-06,4.04595282974e-25,1e-06,1.21378594014e-31
1.0,1e-09,9.99999999999e-07,9.99000999001e-19,1e-06,4.99500332668e-25,1e-06,1.66500124792e-31
1.1,1e-09,9.99999999999e-07,1.0989010989e-18,1e-06,6.04395382341e-25,1e-06,2.21611660547e-31
1.2,1e-09,9.99999999999e-07,1.1988011988e-18,1e-06,7.19280430994e-25,1e-06,2.87712201226e-31
1.3,1e-09,9.99999999999e-07,1.2987012987e-18,1e-06,8.44155477624e-25,1e-06,3.65800746678e-31
1.4,1e-09,9.99999999999e-07,1.3986013986e-18,1e-06,9.79020521232e-25,1e-06,4.5687629665e-31
1.5,1e-09,9.99999999999e-07,1.4985014985e-18,1e-06,1.12387556082e-24,1e-06,5.6193785079e-31
1.6,1e-09,9.99999999998e-07,1.5984015984e-18,1e-06,1.27872059537e-24,1e-06,6.81984408646e-31
1.7,1e-09,9.99999999998e-07,1.6983016983e-18,1e-06,1.44355562391e-24,1e-06,8.18014969664e-31
1.8,1e-09,9.99999999998e-07,1.7982017982e-18,1e-06,1.61838064541e-24,1e-06,9.71028533193e-31
1.9,1e-09,9.99999999998e-07,1.8981018981e-18,1e-06,1.80319565889e-24,1e-06,1.14202409848e-30
