time,hexokinase,glucose,glucose6phosphate,,glucose6phosphate_normal
0,5.00E-09,1.00E-06,0,,0
0.1,5.00E-09,1.00E-06,5.00E-19,,9.99E-20
0.2,5.00E-09,1.00E-06,9.99E-19,,2.00E-19
0.3,5.00E-09,1.00E-06,1.50E-18,,3.00E-19
0.4,5.00E-09,1.00E-06,2.00E-18,,4.00E-19
0.5,5.00E-09,1.00E-06,2.50E-18,,5.00E-19
0.6,5.00E-09,1.00E-06,3.00E-18,,5.99E-19
0.7,5.00E-09,1.00E-06,3.50E-18,,6.99E-19
0.8,5.00E-09,1.00E-06,4.00E-18,,7.99E-19
0.9,5.00E-09,1.00E-06,4.50E-18,,8.99E-19
1,5.00E-09,1.00E-06,5.00E-18,,9.99E-19
1.1,5.00E-09,1.00E-06,5.49E-18,,1.10E-18
1.2,5.00E-09,1.00E-06,5.99E-18,,1.20E-18
1.3,5.00E-09,1.00E-06,6.49E-18,,1.30E-18
1.4,5.00E-09,1.00E-06,6.99E-18,,1.40E-18
1.5,5.00E-09,1.00E-06,7.49E-18,,1.50E-18
1.6,5.00E-09,1.00E-06,7.99E-18,,1.60E-18
1.7,5.00E-09,1.00E-06,8.49E-18,,1.70E-18
1.8,5.00E-09,1.00E-06,8.99E-18,,1.80E-18
1.9,5.00E-09,1.00E-06,9.49E-18,,1.90E-18
2,5.00E-09,1.00E-06,9.99E-18,,2.00E-18
2.1,5.00E-09,1.00E-06,1.05E-17,,2.10E-18
2.2,5.00E-09,1.00E-06,1.10E-17,,2.20E-18
2.3,5.00E-09,1.00E-06,1.15E-17,,2.30E-18
2.4,5.00E-09,1.00E-06,1.20E-17,,2.40E-18
2.5,5.00E-09,1.00E-06,1.25E-17,,2.50E-18
2.6,5.00E-09,1.00E-06,1.30E-17,,2.60E-18
2.7,5.00E-09,1.00E-06,1.35E-17,,2.70E-18
2.8,5.00E-09,1.00E-06,1.40E-17,,2.80E-18
2.9,5.00E-09,1.00E-06,1.45E-17,,2.90E-18
3,5.00E-09,1.00E-06,1.50E-17,,3.00E-18
3.1,5.00E-09,1.00E-06,1.55E-17,,3.10E-18
3.2,5.00E-09,1.00E-06,1.60E-17,,3.20E-18
3.3,5.00E-09,1.00E-06,1.65E-17,,3.30E-18
3.4,5.00E-09,1.00E-06,1.70E-17,,3.40E-18
3.5,5.00E-09,1.00E-06,1.75E-17,,3.50E-18
3.6,5.00E-09,1.00E-06,1.80E-17,,3.60E-18
3.7,5.00E-09,1.00E-06,1.85E-17,,3.70E-18
3.8,5.00E-09,1.00E-06,1.90E-17,,3.80E-18
3.9,5.00E-09,1.00E-06,1.95E-17,,3.90E-18
4,5.00E-09,1.00E-06,2.00E-17,,4.00E-18
4.1,5.00E-09,1.00E-06,2.05E-17,,4.10E-18
4.2,5.00E-09,1.00E-06,2.10E-17,,4.20E-18
4.3,5.00E-09,1.00E-06,2.15E-17,,4.30E-18
4.4,5.00E-09,1.00E-06,2.20E-17,,4.40E-18
4.5,5.00E-09,1.00E-06,2.25E-17,,4.50E-18
4.6,5.00E-09,1.00E-06,2.30E-17,,4.60E-18
4.7,5.00E-09,1.00E-06,2.35E-17,,4.70E-18
4.8,5.00E-09,1.00E-06,2.40E-17,,4.80E-18
4.9,5.00E-09,1.00E-06,2.45E-17,,4.90E-18
5,5.00E-09,1.00E-06,2.50E-17,,5.00E-18
5.1,5.00E-09,1.00E-06,2.55E-17,,5.09E-18
5.2,5.00E-09,1.00E-06,2.60E-17,,5.19E-18
5.3,5.00E-09,1.00E-06,2.65E-17,,5.29E-18
5.4,5.00E-09,1.00E-06,2.70E-17,,5.39E-18
5.5,5.00E-09,1.00E-06,2.75E-17,,5.49E-18
5.6,5.00E-09,1.00E-06,2.80E-17,,5.59E-18
5.7,5.00E-09,1.00E-06,2.85E-17,,5.69E-18
5.8,5.00E-09,1.00E-06,2.90E-17,,5.79E-18
5.9,5.00E-09,1.00E-06,2.95E-17,,5.89E-18
6,5.00E-09,1.00E-06,3.00E-17,,5.99E-18
6.1,5.00E-09,1.00E-06,3.05E-17,,6.09E-18
6.2,5.00E-09,1.00E-06,3.10E-17,,6.19E-18
6.3,5.00E-09,1.00E-06,3.15E-17,,6.29E-18
6.4,5.00E-09,1.00E-06,3.20E-17,,6.39E-18
6.5,5.00E-09,1.00E-06,3.25E-17,,6.49E-18
6.6,5.00E-09,1.00E-06,3.30E-17,,6.59E-18
6.7,5.00E-09,1.00E-06,3.35E-17,,6.69E-18
6.8,5.00E-09,1.00E-06,3.40E-17,,6.79E-18
6.9,5.00E-09,1.00E-06,3.45E-17,,6.89E-18
7,5.00E-09,1.00E-06,3.50E-17,,6.99E-18
7.1,5.00E-09,1.00E-06,3.55E-17,,7.09E-18
7.2,5.00E-09,1.00E-06,3.60E-17,,7.19E-18
7.3,5.00E-09,1.00E-06,3.65E-17,,7.29E-18
7.4,5.00E-09,1.00E-06,3.70E-17,,7.39E-18
7.5,5.00E-09,1.00E-06,3.75E-17,,7.49E-18
7.6,5.00E-09,1.00E-06,3.80E-17,,7.59E-18
7.7,5.00E-09,1.00E-06,3.85E-17,,7.69E-18
7.8,5.00E-09,1.00E-06,3.90E-17,,7.79E-18
7.9,5.00E-09,1.00E-06,3.95E-17,,7.89E-18
8,5.00E-09,1.00E-06,4.00E-17,,7.99E-18
8.1,5.00E-09,1.00E-06,4.05E-17,,8.09E-18
8.2,5.00E-09,1.00E-06,4.10E-17,,8.19E-18
8.3,5.00E-09,1.00E-06,4.15E-17,,8.29E-18
8.4,5.00E-09,1.00E-06,4.20E-17,,8.39E-18
8.5,5.00E-09,1.00E-06,4.25E-17,,8.49E-18
8.6,5.00E-09,1.00E-06,4.30E-17,,8.59E-18
8.7,5.00E-09,1.00E-06,4.35E-17,,8.69E-18
8.8,5.00E-09,1.00E-06,4.40E-17,,8.79E-18
8.9,5.00E-09,1.00E-06,4.45E-17,,8.89E-18
9,5.00E-09,1.00E-06,4.50E-17,,8.99E-18
9.1,5.00E-09,1.00E-06,4.55E-17,,9.09E-18
9.2,5.00E-09,1.00E-06,4.60E-17,,9.19E-18
9.3,5.00E-09,1.00E-06,4.65E-17,,9.29E-18
9.4,5.00E-09,1.00E-06,4.70E-17,,9.39E-18
9.5,5.00E-09,1.00E-06,4.75E-17,,9.49E-18
9.6,5.00E-09,1.00E-06,4.80E-17,,9.59E-18
9.7,5.00E-09,1.00E-06,4.85E-17,,9.69E-18
9.8,5.00E-09,1.00E-06,4.90E-17,,9.79E-18
