time,glucose,hexokinase,glucose6phosphate
0.0,4e-09,5e-06,0.0
0.1,4e-09,5e-06,3.99920015997e-19
0.2,4e-09,5e-06,7.99840031994e-19
0.3,4e-09,5e-06,1.19976004799e-18
0.4,4e-09,5e-06,1.59968006399e-18
0.5,4e-09,5e-06,1.99960007998e-18
0.6,4e-09,5e-06,2.39952009598e-18
0.7,4e-09,5e-06,2.79944011198e-18
0.8,4e-09,5e-06,3.19936012797e-18
0.9,4e-09,5e-06,3.59928014397e-18
1.0,4e-09,5e-06,3.99920015997e-18
1.1,4e-09,5e-06,4.39912017596e-18
1.2,4e-09,5e-06,4.79904019196e-18
1.3,4e-09,4.99999999999e-06,5.19896020796e-18
1.4,4e-09,4.99999999999e-06,5.59888022396e-18
1.5,4e-09,4.99999999999e-06,5.99880023995e-18
1.6,4e-09,4.99999999999e-06,6.39872025595e-18
1.7,4e-09,4.99999999999e-06,6.79864027195e-18
1.8,4e-09,4.99999999999e-06,7.19856028794e-18
1.9,4e-09,4.99999999999e-06,7.59848030394e-18
2.0,4e-09,4.99999999999e-06,7.99840031994e-18
2.1,4e-09,4.99999999999e-06,8.39832033593e-18
2.2,4e-09,4.99999999999e-06,8.79824035193e-18
2.3,4e-09,4.99999999999e-06,9.19816036793e-18
2.4,4e-09,4.99999999999e-06,9.59808038392e-18
2.5,4e-09,4.99999999999e-06,9.99800039992e-18
2.6,4e-09,4.99999999999e-06,1.03979204159e-17
2.7,4e-09,4.99999999999e-06,1.07978404319e-17
2.8,4e-09,4.99999999999e-06,1.11977604479e-17
2.9,4e-09,4.99999999999e-06,1.15976804639e-17
3.0,4e-09,4.99999999999e-06,1.19976004799e-17
3.1,4e-09,4.99999999999e-06,1.23975204959e-17
3.2,4e-09,4.99999999999e-06,1.27974405119e-17
3.3,4e-09,4.99999999999e-06,1.31973605279e-17
3.4,4e-09,4.99999999999e-06,1.35972805439e-17
3.5,4e-09,4.99999999999e-06,1.39972005599e-17
3.6,4e-09,4.99999999999e-06,1.43971205759e-17
3.7,4e-09,4.99999999999e-06,1.47970405919e-17
3.8,4e-09,4.99999999998e-06,1.51969606079e-17
3.9,4e-09,4.99999999998e-06,1.55968806239e-17
4.0,4e-09,4.99999999998e-06,1.59968006399e-17
4.1,4e-09,4.99999999998e-06,1.63967206559e-17
4.2,4e-09,4.99999999998e-06,1.67966406719e-17
4.3,4e-09,4.99999999998e-06,1.71965606879e-17
4.4,4e-09,4.99999999998e-06,1.75964807039e-17
4.5,4e-09,4.99999999998e-06,1.79964007199e-17
4.6,4e-09,4.99999999998e-06,1.83963207359e-17
4.7,4e-09,4.99999999998e-06,1.87962407518e-17
4.8,4e-09,4.99999999998e-06,1.91961607678e-17
4.9,4e-09,4.99999999998e-06,1.95960807838e-17
5.0,4e-09,4.99999999998e-06,1.99960007998e-17
5.1,4e-09,4.99999999998e-06,2.03959208158e-17
5.2,4e-09,4.99999999998e-06,2.07958408318e-17
5.3,4e-09,4.99999999998e-06,2.11957608478e-17
5.4,4e-09,4.99999999998e-06,2.15956808638e-17
5.5,4e-09,4.99999999998e-06,2.19956008798e-17
5.6,4e-09,4.99999999998e-06,2.23955208958e-17
5.7,4e-09,4.99999999998e-06,2.27954409118e-17
5.8,4e-09,4.99999999998e-06,2.31953609278e-17
5.9,4e-09,4.99999999998e-06,2.35952809438e-17
6.0,4e-09,4.99999999998e-06,2.39952009598e-17
6.1,4e-09,4.99999999998e-06,2.43951209758e-17
6.2,4e-09,4.99999999998e-06,2.47950409918e-17
6.3,4e-09,4.99999999997e-06,2.51949610078e-17
6.4,4e-09,4.99999999997e-06,2.55948810238e-17
6.5,4e-09,4.99999999997e-06,2.59948010398e-17
6.6,4e-09,4.99999999997e-06,2.63947210558e-17
6.7,4e-09,4.99999999997e-06,2.67946410718e-17
6.8,4e-09,4.99999999997e-06,2.71945610878e-17
6.9,4e-09,4.99999999997e-06,2.75944811038e-17
7.0,4e-09,4.99999999997e-06,2.79944011198e-17
7.1,4e-09,4.99999999997e-06,2.83943211358e-17
7.2,4e-09,4.99999999997e-06,2.87942411518e-17
7.3,4e-09,4.99999999997e-06,2.91941611678e-17
7.4,4e-09,4.99999999997e-06,2.95940811838e-17
7.5,4e-09,4.99999999997e-06,2.99940011998e-17
7.6,4e-09,4.99999999997e-06,3.03939212158e-17
7.7,4e-09,4.99999999997e-06,3.07938412318e-17
7.8,4e-09,4.99999999997e-06,3.11937612478e-17
7.9,4e-09,4.99999999997e-06,3.15936812637e-17
8.0,4e-09,4.99999999997e-06,3.19936012797e-17
8.1,4e-09,4.99999999997e-06,3.23935212957e-17
8.2,4e-09,4.99999999997e-06,3.27934413117e-17
8.3,4e-09,4.99999999997e-06,3.31933613277e-17
8.4,4e-09,4.99999999997e-06,3.35932813437e-17
8.5,4e-09,4.99999999997e-06,3.39932013597e-17
8.6,4e-09,4.99999999997e-06,3.43931213757e-17
8.7,4e-09,4.99999999997e-06,3.47930413917e-17
8.8,4e-09,4.99999999996e-06,3.51929614077e-17
8.9,4e-09,4.99999999996e-06,3.55928814237e-17
9.0,4e-09,4.99999999996e-06,3.59928014397e-17
9.1,4e-09,4.99999999996e-06,3.63927214557e-17
9.2,4e-09,4.99999999996e-06,3.67926414717e-17
9.3,4e-09,4.99999999996e-06,3.71925614877e-17
9.4,4e-09,4.99999999996e-06,3.75924815037e-17
9.5,4e-09,4.99999999996e-06,3.79924015197e-17
9.6,4e-09,4.99999999996e-06,3.83923215357e-17
9.7,4e-09,4.99999999996e-06,3.87922415517e-17
9.8,4e-09,4.99999999996e-06,3.91921615677e-17
9.9,4e-09,4.99999999996e-06,3.95920815837e-17
10.0,4e-09,4.99999999996e-06,3.99920015997e-17
10.1,4e-09,4.99999999996e-06,4.03919216157e-17
10.2,4e-09,4.99999999996e-06,4.07918416317e-17
10.3,4e-09,4.99999999996e-06,4.11917616477e-17
10.4,4e-09,4.99999999996e-06,4.15916816637e-17
10.5,4e-09,4.99999999996e-06,4.19916016797e-17
10.6,4e-09,4.99999999996e-06,4.23915216957e-17
10.7,4e-09,4.99999999996e-06,4.27914417117e-17
10.8,4e-09,4.99999999996e-06,4.31913617277e-17
10.9,4e-09,4.99999999996e-06,4.35912817437e-17
11.0,4e-09,4.99999999996e-06,4.39912017596e-17
11.1,4e-09,4.99999999996e-06,4.43911217756e-17
11.2,4e-09,4.99999999996e-06,4.47910417916e-17
11.3,4e-09,4.99999999995e-06,4.51909618076e-17
11.4,4e-09,4.99999999995e-06,4.55908818236e-17
11.5,4e-09,4.99999999995e-06,4.59908018396e-17
11.6,4e-09,4.99999999995e-06,4.63907218556e-17
11.7,4e-09,4.99999999995e-06,4.67906418716e-17
11.8,4e-09,4.99999999995e-06,4.71905618876e-17
11.9,4e-09,4.99999999995e-06,4.75904819036e-17
12.0,4e-09,4.99999999995e-06,4.79904019196e-17
12.1,4e-09,4.99999999995e-06,4.83903219356e-17
12.2,4e-09,4.99999999995e-06,4.87902419516e-17
12.3,4e-09,4.99999999995e-06,4.91901619676e-17
12.4,4e-09,4.99999999995e-06,4.95900819836e-17
12.5,4e-09,4.99999999995e-06,4.99900019996e-17
12.6,4e-09,4.99999999995e-06,5.03899220156e-17
12.7,4e-09,4.99999999995e-06,5.07898420316e-17
12.8,4e-09,4.99999999995e-06,5.11897620476e-17
12.9,4e-09,4.99999999995e-06,5.15896820636e-17
13.0,4e-09,4.99999999995e-06,5.19896020796e-17
13.1,4e-09,4.99999999995e-06,5.23895220956e-17
13.2,4e-09,4.99999999995e-06,5.27894421116e-17
13.3,4e-09,4.99999999995e-06,5.31893621276e-17
13.4,4e-09,4.99999999995e-06,5.35892821436e-17
13.5,4e-09,4.99999999995e-06,5.39892021596e-17
13.6,4e-09,4.99999999995e-06,5.43891221756e-17
13.7,4e-09,4.99999999995e-06,5.47890421916e-17
13.8,4e-09,4.99999999994e-06,5.51889622076e-17
13.9,4e-09,4.99999999994e-06,5.55888822236e-17
14.0,4e-09,4.99999999994e-06,5.59888022396e-17
14.1,4e-09,4.99999999994e-06,5.63887222555e-17
14.2,4e-09,4.99999999994e-06,5.67886422715e-17
14.3,4e-09,4.99999999994e-06,5.71885622875e-17
14.4,4e-09,4.99999999994e-06,5.75884823035e-17
14.5,4e-09,4.99999999994e-06,5.79884023195e-17
14.6,4e-09,4.99999999994e-06,5.83883223355e-17
14.7,4e-09,4.99999999994e-06,5.87882423515e-17
14.8,4e-09,4.99999999994e-06,5.91881623675e-17
14.9,4e-09,4.99999999994e-06,5.95880823835e-17
15.0,4e-09,4.99999999994e-06,5.99880023995e-17
15.1,4e-09,4.99999999994e-06,6.03879224155e-17
15.2,4e-09,4.99999999994e-06,6.07878424315e-17
15.3,4e-09,4.99999999994e-06,6.11877624475e-17
15.4,4e-09,4.99999999994e-06,6.15876824635e-17
15.5,4e-09,4.99999999994e-06,6.19876024795e-17
15.6,4e-09,4.99999999994e-06,6.23875224955e-17
15.7,4e-09,4.99999999994e-06,6.27874425115e-17
15.8,4e-09,4.99999999994e-06,6.31873625275e-17
15.9,4e-09,4.99999999994e-06,6.35872825435e-17
16.0,4e-09,4.99999999994e-06,6.39872025595e-17
16.1,4e-09,4.99999999994e-06,6.43871225755e-17
16.2,4e-09,4.99999999994e-06,6.47870425915e-17
16.3,4e-09,4.99999999993e-06,6.51869626075e-17
16.4,4e-09,4.99999999993e-06,6.55868826235e-17
16.5,4e-09,4.99999999993e-06,6.59868026395e-17
16.6,4e-09,4.99999999993e-06,6.63867226555e-17
16.7,4e-09,4.99999999993e-06,6.67866426715e-17
16.8,4e-09,4.99999999993e-06,6.71865626875e-17
16.9,4e-09,4.99999999993e-06,6.75864827035e-17
17.0,4e-09,4.99999999993e-06,6.79864027195e-17
17.1,4e-09,4.99999999993e-06,6.83863227355e-17
17.2,4e-09,4.99999999993e-06,6.87862427514e-17
17.3,4e-09,4.99999999993e-06,6.91861627674e-17
17.4,4e-09,4.99999999993e-06,6.95860827834e-17
17.5,4e-09,4.99999999993e-06,6.99860027994e-17
17.6,4e-09,4.99999999993e-06,7.03859228154e-17
17.7,4e-09,4.99999999993e-06,7.07858428314e-17
17.8,4e-09,4.99999999993e-06,7.11857628474e-17
17.9,4e-09,4.99999999993e-06,7.15856828634e-17
18.0,4e-09,4.99999999993e-06,7.19856028794e-17
18.1,4e-09,4.99999999993e-06,7.23855228954e-17
18.2,4e-09,4.99999999993e-06,7.27854429114e-17
18.3,4e-09,4.99999999993e-06,7.31853629274e-17
18.4,4e-09,4.99999999993e-06,7.35852829434e-17
18.5,4e-09,4.99999999993e-06,7.39852029594e-17
18.6,4e-09,4.99999999993e-06,7.43851229754e-17
18.7,4e-09,4.99999999993e-06,7.47850429914e-17
18.8,4e-09,4.99999999992e-06,7.51849630074e-17
18.9,4e-09,4.99999999992e-06,7.55848830234e-17
19.0,4e-09,4.99999999992e-06,7.59848030394e-17
19.1,4e-09,4.99999999992e-06,7.63847230554e-17
19.2,4e-09,4.99999999992e-06,7.67846430714e-17
19.3,4e-09,4.99999999992e-06,7.71845630874e-17
19.4,4e-09,4.99999999992e-06,7.75844831034e-17
19.5,4e-09,4.99999999992e-06,7.79844031194e-17
19.6,4e-09,4.99999999992e-06,7.83843231354e-17
19.7,4e-09,4.99999999992e-06,7.87842431514e-17
19.8,4e-09,4.99999999992e-06,7.91841631674e-17
19.9,4e-09,4.99999999992e-06,7.95840831834e-17
20.0,4e-09,4.99999999992e-06,7.99840031994e-17
20.1,4e-09,4.99999999992e-06,8.03839232154e-17
20.2,4e-09,4.99999999992e-06,8.07838432314e-17
20.3,4e-09,4.99999999992e-06,8.11837632474e-17
20.4,4e-09,4.99999999992e-06,8.15836832633e-17
20.5,4e-09,4.99999999992e-06,8.19836032793e-17
20.6,4e-09,4.99999999992e-06,8.23835232953e-17
20.7,4e-09,4.99999999992e-06,8.27834433113e-17
20.8,4e-09,4.99999999992e-06,8.31833633273e-17
20.9,4e-09,4.99999999992e-06,8.35832833433e-17
21.0,4e-09,4.99999999992e-06,8.39832033593e-17
21.1,4e-09,4.99999999992e-06,8.43831233753e-17
21.2,4e-09,4.99999999992e-06,8.47830433913e-17
21.3,4e-09,4.99999999991e-06,8.51829634073e-17
21.4,4e-09,4.99999999991e-06,8.55828834233e-17
21.5,4e-09,4.99999999991e-06,8.59828034393e-17
21.6,4e-09,4.99999999991e-06,8.63827234553e-17
21.7,4e-09,4.99999999991e-06,8.67826434713e-17
21.8,4e-09,4.99999999991e-06,8.71825634873e-17
21.9,4e-09,4.99999999991e-06,8.75824835033e-17
22.0,4e-09,4.99999999991e-06,8.79824035193e-17
22.1,4e-09,4.99999999991e-06,8.83823235353e-17
22.2,4e-09,4.99999999991e-06,8.87822435513e-17
22.3,4e-09,4.99999999991e-06,8.91821635673e-17
22.4,4e-09,4.99999999991e-06,8.95820835833e-17
22.5,4e-09,4.99999999991e-06,8.99820035993e-17
22.6,4e-09,4.99999999991e-06,9.03819236153e-17
22.7,4e-09,4.99999999991e-06,9.07818436313e-17
22.8,4e-09,4.99999999991e-06,9.11817636473e-17
22.9,4e-09,4.99999999991e-06,9.15816836633e-17
23.0,4e-09,4.99999999991e-06,9.19816036793e-17
23.1,4e-09,4.99999999991e-06,9.23815236953e-17
23.2,4e-09,4.99999999991e-06,9.27814437113e-17
23.3,4e-09,4.99999999991e-06,9.31813637273e-17
23.4,4e-09,4.99999999991e-06,9.35812837433e-17
23.5,4e-09,4.99999999991e-06,9.39812037592e-17
23.6,4e-09,4.99999999991e-06,9.43811237752e-17
23.7,4e-09,4.99999999991e-06,9.47810437912e-17
23.8,4e-09,4.9999999999e-06,9.51809638072e-17
23.9,4e-09,4.9999999999e-06,9.55808838232e-17
24.0,4e-09,4.9999999999e-06,9.59808038392e-17
24.1,4e-09,4.9999999999e-06,9.63807238552e-17
24.2,4e-09,4.9999999999e-06,9.67806438712e-17
24.3,4e-09,4.9999999999e-06,9.71805638872e-17
