time,hexokinase,glucose,glucose6phosphate
0.0,1e-09,1e-06,0.0
0.1,1e-09,1e-06,9.99000999001e-20
0.2,1e-09,1e-06,1.998001998e-19
0.3,1e-09,1e-06,2.997002997e-19
0.4,1e-09,1e-06,3.996003996e-19
0.5,1e-09,1e-06,4.995004995e-19
0.6,1e-09,9.99999999999e-07,5.99400599401e-19
0.7,1e-09,9.99999999999e-07,6.99300699301e-19
0.8,1e-09,9.99999999999e-07,7.99200799201e-19
0.9,1e-09,9.99999999999e-07,8.99100899101e-19
1.0,1e-09,9.99999999999e-07,9.99000999001e-19
1.1,1e-09,9.99999999999e-07,1.0989010989e-18
1.2,1e-09,9.99999999999e-07,1.1988011988e-18
1.3,1e-09,9.99999999999e-07,1.2987012987e-18
1.4,1e-09,9.99999999999e-07,1.3986013986e-18
1.5,1e-09,9.99999999999e-07,1.4985014985e-18
1.6,1e-09,9.99999999998e-07,1.5984015984e-18
1.7,1e-09,9.99999999998e-07,1.6983016983e-18
1.8,1e-09,9.99999999998e-07,1.7982017982e-18
1.9,1e-09,9.99999999998e-07,1.8981018981e-18
2.0,1e-09,9.99999999998e-07,1.998001998e-18
2.1,1e-09,9.99999999998e-07,2.0979020979e-18
2.2,1e-09,9.99999999998e-07,2.1978021978e-18
2.3,1e-09,9.99999999998e-07,2.2977022977e-18
2.4,1e-09,9.99999999998e-07,2.3976023976e-18
2.5,1e-09,9.99999999998e-07,2.4975024975e-18
2.6,1e-09,9.99999999997e-07,2.5974025974e-18
2.7,1e-09,9.99999999997e-07,2.6973026973e-18
2.8,1e-09,9.99999999997e-07,2.7972027972e-18
2.9,1e-09,9.99999999997e-07,2.8971028971e-18
3.0,1e-09,9.99999999997e-07,2.997002997e-18
3.1,1e-09,9.99999999997e-07,3.0969030969e-18
3.2,1e-09,9.99999999997e-07,3.1968031968e-18
3.3,1e-09,9.99999999997e-07,3.2967032967e-18
3.4,1e-09,9.99999999997e-07,3.3966033966e-18
3.5,1e-09,9.99999999997e-07,3.4965034965e-18
3.6,1e-09,9.99999999996e-07,3.5964035964e-18
3.7,1e-09,9.99999999996e-07,3.6963036963e-18
3.8,1e-09,9.99999999996e-07,3.7962037962e-18
3.9,1e-09,9.99999999996e-07,3.8961038961e-18
4.0,1e-09,9.99999999996e-07,3.996003996e-18
4.1,1e-09,9.99999999996e-07,4.0959040959e-18
4.2,1e-09,9.99999999996e-07,4.1958041958e-18
4.3,1e-09,9.99999999996e-07,4.2957042957e-18
4.4,1e-09,9.99999999996e-07,4.3956043956e-18
