time,AHL,LasR_mRNA,LasR,GFP_mRNA,GFP,LasR.AHL,IPTG_LasR
0.0,1e-09,1e-06,1e-06,0.0,0.0,0.0,1e-06
0.1,1e-09,0.00622249501204,0.000186159591524,4.29624956634e-21,4.50662044352e-27,1.00373341542e-10,1.00000114898e-06
0.2,1e-09,0.0124403826032,0.000741347862454,2.26417485733e-19,8.63311519431e-22,7.93059315031e-10,1.00000229797e-06
0.3,1e-09,0.0186546648652,0.00166630732509,3.5823014984e-18,2.32900912898e-20,2.66989779678e-09,1.00000344696e-06
0.4,1e-09,0.0248653438886,0.00296078064602,2.64290455624e-17,2.33891342478e-19,6.32231680622e-09,1.00000459595e-06
0.5,1e-09,0.0310724217626,0.00462451064601,1.25392094132e-16,1.39446302623e-18,1.23413327527e-08,1.00000574494e-06
0.6,1e-09,0.0372759005752,0.00665724029993,4.48280448827e-16,5.99275909618e-18,2.1317550682e-08,1.00000689394e-06
0.7,1e-09,0.0434757824133,0.00905871273666,1.31707235937e-15,2.05554529057e-17,3.38411645231e-08,1.00000804293e-06
0.8,1e-09,0.0496720693626,0.011828671239,3.35092970112e-15,5.97858982745e-17,5.05019573342e-08,1.00000919194e-06
0.9,1e-09,0.0558647635075,0.0149668592436,7.63717485507e-15,1.53310702967e-16,7.18893015489e-08,1.00001034094e-06
1.0,1e-09,0.0620538669311,0.0184730203408,1.595813918e-14,3.55960004737e-16,9.85921592229e-08,1.00001148994e-06
1.1,1e-09,0.0682393817156,0.0223468982746,3.10817667694e-14,7.62646684981e-16,1.31199082279e-07,1.00001263893e-06
1.2,1e-09,0.0744213099417,0.0265882369427,5.71238305967e-14,1.52904955149e-15,1.70298212753e-07,1.00001378792e-06
1.3,1e-09,0.0805996536891,0.031196780396,9.99895896057e-14,2.89944474234e-15,2.16477283041e-07,1.00001493689e-06
1.4,1e-09,0.0867744150361,0.036172272839,1.67902683715e-13,5.24316820403e-15,2.70323616141e-07,1.00001608583e-06
1.5,1e-09,0.0929455960598,0.0415144586294,2.72029027614e-13,9.10133001206e-15,3.32424125904e-07,1.00001723472e-06
1.6,1e-09,0.0991131988364,0.0472230822782,4.27203421675e-13,1.5245538435e-14,4.03365317273e-07,1.00001838355e-06
