time,ribA,ribD1,ribD2,E1,ribH,ribE,E2,GTP,C01304,C01268,C04454,C04732,C04332,riboflavin,FMN
0.0,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-06,9.99000998951e-20,4.99500499434e-30,1.66500166479e-40,4.1625041623e-51,0.0,0.0,0.0
0.2,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-06,1.9980019978e-19,1.99800199747e-29,1.33200133167e-39,6.66000665847e-50,2.497502497e-60,6.93750693629e-71,1.38750138733e-81
0.3,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-06,2.99700299655e-19,4.49550449371e-29,4.49550449382e-39,3.37162837042e-49,1.99800199733e-59,9.57375957071e-70,3.74625374527e-80
0.4,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-06,3.9960039952e-19,7.99200798775e-29,1.06560106507e-38,1.06560106509e-48,8.49150848759e-59,5.57775557528e-69,3.08025307908e-79
0.5,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-06,4.99500499376e-19,1.24875124792e-28,2.08125207995e-38,2.60156510001e-48,2.5974025959e-58,2.15062714941e-68,1.51237651164e-78
0.6,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999999e-07,5.99400599221e-19,1.79820179676e-28,3.59640359371e-38,5.39460539072e-48,6.46853146402e-58,6.44771894333e-68,5.48201797877e-78
0.7,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999999e-07,6.99300699056e-19,2.44755244527e-28,5.71095570596e-38,9.99417248578e-48,1.39860139746e-57,1.62878787749e-67,1.62129537017e-77
0.8,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999999e-07,7.99200798881e-19,3.19680319339e-28,8.52480851629e-38,1.70496170333e-47,2.72727272473e-57,3.63247862917e-67,4.13974913645e-77
0.9,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999999e-07,8.99100898696e-19,4.0459540411e-28,1.21378621242e-37,2.73101897807e-47,4.91508490993e-57,7.36763236007e-67,9.45554444706e-77
